"Country (ISO 3166-1)",Place,Lattitude,Longitude,"Radiation January","Radiation February","Radiation March","Radiation April","Radiation May","Radiation June","Radiation July","Radiation August","Radiation September","Radiation October","Radiation November","Radiation December"
GB,Aberdeen,57.17,-1.92,1.64,3.93,8.00,11.21,16.71,16.79,15.46,13.38,8.46,4.76,1.77,1.05
GB,"Aberdeen - Dyce Arpt",57.20,-2.22,1.70,3.99,8.80,13.35,17.55,16.43,15.99,12.79,8.82,5.18,2.42,1.34
GB,Aberporth,52.13,-4.57,2.66,5.11,9.22,14.88,18.45,19.99,17.99,15.11,11.06,6.18,3.02,2.09
GB,Aviemore,57.20,-3.83,1.51,3.79,7.57,12.00,16.11,16.48,15.09,12.55,8.75,4.65,2.06,1.14
GB,"Belfast - Aldergrove Arpt",54.67,-6.22,1.90,4.30,7.69,13.01,17.46,17.55,16.04,13.19,9.53,5.27,2.56,1.56
GB,Boulmer,55.42,-1.60,2.22,4.37,8.91,13.83,18.59,18.35,16.95,13.61,10.03,5.85,2.86,1.67
GB,Bracknell,51.38,-0.78,2.45,4.92,8.67,13.03,16.85,18.16,18.16,15.76,10.30,6.70,3.28,2.01
GB,Camborne,50.22,-5.32,2.95,5.46,9.27,15.05,18.38,20.23,18.04,16.15,12.08,6.92,3.67,2.48
GB,Dunstaffnage,56.57,-5.43,1.38,3.36,7.00,12.22,15.88,16.04,14.01,11.73,8.27,4.29,1.78,1.10
GB,Edinburgh,56.45,-3.07,1.69,4.03,7.72,12.35,16.98,17.60,16.61,13.64,9.32,5.04,2.39,1.23
GB,Eskdalemuir,55.32,-3.20,1.56,3.66,6.80,11.38,15.19,15.17,14.82,12.20,8.83,4.73,2.19,1.35
GB,Hemsby,52.68,1.68,2.42,5.15,8.59,14.04,18.21,18.86,18.77,16.34,10.34,6.40,3.22,1.82
GB,"Jersey Arpt",49.22,-2.20,3.16,5.61,9.88,14.91,19.31,21.48,20.72,17.78,12.76,7.52,3.90,2.38
GB,Lerwick,60.13,-1.18,0.93,2.81,6.28,11.08,16.44,16.34,14.37,12.07,7.55,3.75,1.33,0.58
GB,"London Weather Centre",51.52,0.12,2.44,4.69,8.34,12.66,16.55,18.04,17.56,15.51,10.48,6.48,3.14,1.95
GB,Odiham,51.23,-0.95,2.83,5.07,9.61,15.38,17.22,20.62,18.70,14.28,11.26,6.59,3.53,2.25
GB,Waddington,53.17,-0.52,2.47,4.58,8.98,14.26,17.12,19.37,18.40,14.30,10.71,6.18,3.32,2.14
GB,Wattisham,52.12,0.97,2.65,5.13,9.50,16.35,17.87,19.92,18.34,14.66,10.74,6.27,3.22,2.30
